"City","Airport","Price (USD)","From","To"
"Reykjavík","KEF","421","2023-06-08T00:00:00.000Z","2023-06-16T00:00:00.000Z"
"Zaventem","BRU","132","2023-05-02T00:00:00.000Z","2023-05-10T00:00:00.000Z"
"Frankfurt am Main","FRA","177","2023-04-29T00:00:00.000Z","2023-05-07T00:00:00.000Z"
"Köln (Cologne)","CGN","223","2023-05-28T00:00:00.000Z","2023-06-05T00:00:00.000Z"
"Düsseldorf","DUS","136","2023-05-13T00:00:00.000Z","2023-05-21T00:00:00.000Z"
"Munich","MUC","170","2023-06-09T00:00:00.000Z","2023-06-17T00:00:00.000Z"
"Helsinki","HEL","224","2023-06-05T00:00:00.000Z","2023-06-13T00:00:00.000Z"
"Manchester","MAN","104","2023-05-24T00:00:00.000Z","2023-06-01T00:00:00.000Z"
"London","LTN","77","2023-05-26T00:00:00.000Z","2023-06-03T00:00:00.000Z"
"London","LGW","128","2023-06-21T00:00:00.000Z","2023-06-29T00:00:00.000Z"
"London","LHR","154","2023-04-25T00:00:00.000Z","2023-05-03T00:00:00.000Z"
"Edinburgh","EDI","142","2023-05-08T00:00:00.000Z","2023-05-16T00:00:00.000Z"
"London","STN","77","2023-05-23T00:00:00.000Z","2023-05-31T00:00:00.000Z"
"Amsterdam","AMS","120","2023-06-09T00:00:00.000Z","2023-06-17T00:00:00.000Z"
"Eindhoven","EIN","168","2023-05-15T00:00:00.000Z","2023-05-23T00:00:00.000Z"
"Dublin","DUB","178","2023-06-12T00:00:00.000Z","2023-06-20T00:00:00.000Z"
"Copenhagen","CPH","79","2023-05-15T00:00:00.000Z","2023-05-23T00:00:00.000Z"
"Luxembourg","LUX","241","2023-06-11T00:00:00.000Z","2023-06-19T00:00:00.000Z"
"Oslo","OSL","102","2023-05-27T00:00:00.000Z","2023-06-04T00:00:00.000Z"
"Warsaw","WAW","186","2023-06-12T00:00:00.000Z","2023-06-20T00:00:00.000Z"
"Stockholm","ARN","148","2023-06-12T00:00:00.000Z","2023-06-20T00:00:00.000Z"
"Riga","RIX","153","2023-05-22T00:00:00.000Z","2023-05-30T00:00:00.000Z"
"Varna","VAR","64","2023-04-27T00:00:00.000Z","2023-05-05T00:00:00.000Z"
"Barcelona","BCN","124","2023-04-25T00:00:00.000Z","2023-05-03T00:00:00.000Z"
"Madrid","MAD","183","2023-05-20T00:00:00.000Z","2023-05-28T00:00:00.000Z"
"Málaga","AGP","265","2023-06-06T00:00:00.000Z","2023-06-14T00:00:00.000Z"
"Palma de Mallorca","PMI","178","2023-05-14T00:00:00.000Z","2023-05-22T00:00:00.000Z"
"Paris","CDG","146","2023-05-14T00:00:00.000Z","2023-05-22T00:00:00.000Z"
"Paris","ORY","73","2023-06-07T00:00:00.000Z","2023-06-15T00:00:00.000Z"
"Bâle/Mulhouse","BSL","92","2023-05-28T00:00:00.000Z","2023-06-05T00:00:00.000Z"
"Athens","ATH","220","2023-05-09T00:00:00.000Z","2023-05-17T00:00:00.000Z"
"Budapest","BUD","38","2023-05-15T00:00:00.000Z","2023-05-23T00:00:00.000Z"
"Milan","MXP","55","2023-05-31T00:00:00.000Z","2023-06-08T00:00:00.000Z"
"Milan","BGY","60","2023-05-30T00:00:00.000Z","2023-06-07T00:00:00.000Z"
"Bologna","BLQ","103","2023-05-21T00:00:00.000Z","2023-05-29T00:00:00.000Z"
"Venice","VCE","56","2023-05-22T00:00:00.000Z","2023-05-30T00:00:00.000Z"
"Rome","FCO","72","2023-06-06T00:00:00.000Z","2023-06-14T00:00:00.000Z"
"Napoli","NAP","77","2023-06-07T00:00:00.000Z","2023-06-15T00:00:00.000Z"
"Vienna","VIE","189","2023-05-06T00:00:00.000Z","2023-05-14T00:00:00.000Z"
"Lisbon","LIS","288","2023-06-08T00:00:00.000Z","2023-06-16T00:00:00.000Z"
"Bucharest","OTP","95","2023-06-18T00:00:00.000Z","2023-06-26T00:00:00.000Z"
"Geneva","GVA","118","2023-06-22T00:00:00.000Z","2023-06-30T00:00:00.000Z"
"Zurich","ZRH","190","2023-04-25T00:00:00.000Z","2023-05-03T00:00:00.000Z"
"Istanbul","IST","229","2023-05-15T00:00:00.000Z","2023-05-23T00:00:00.000Z"
"Belgrade","BEG","231","2023-05-18T00:00:00.000Z","2023-05-26T00:00:00.000Z"
